Article-Link,Article-Gist,Article-Content
WSL Championship Tour season set for launch at Pipeline,"The 2022 World Surf League (WSL) Championship Tour is scheduled to begin tomorrow at Pipeline, on the North Shore of Oahu in Hawaii.","The first event of the new season will also feature the first full-length women's Championship Tour event at the iconic wave.  A record number of rookies are poised to make their Championship Tour debuts, while both the men’s and women’s draws have a good mix of world champions and veterans, plus the fresh faces.  Women's heat three stands out, with five-time WSL champion and Olympic gold medallist Carissa Moore - who hails from Hawaii - to be up against Costa Rica's Brisa Hennessy, who finished second at the Pipe Pro at the same venue in December.  Wildcard Moana Jones Wong, another Hawaiian, completes the heat.  Australia's Stephanie Gilmore - the seven-time WSL world champion - has entered the league's COVID-19 protocol, but is expected to be cleared to compete by Monday (January 31), the WSL said.  Gilmore is due to be in an all-Australian heat with Tyler Wright and India Robinson.  Among men, much of the focus will be on John John Florence after defending champion Gabriel Medina from Brazil pulled out of the event.  Florence, who is a two-time WSL world champion and from Hawaii, will be pitted against Brazilians Jadson Andre and Joao Chianca in his opening heat.  Pipeline has always been a proving ground and it will be interesting to see how the rookies tackle the waves.  As for the weather, the wind looks favourable and a north-west swell for the weekend is on track, so organisers are hopeful of action getting underway on schedule.  The event could last until February 10."
Fukuhara appointed Japan general manager of WTT,Ai Fukuhara has been appointed as the Japan general manager of World Table Tennis (WTT).,"The strategic development of WTT in Japan would be a top priority for Fukuhara as she settles into her new role.  Fukuhara became the youngest player to represent Japan when she broke into the national team at the age of 10.  She won Japan’s first-ever Olympic medal when she bagged a team silver at London 2012.  The four-time Olympian also took the bronze in Rio and has won six World Championships medals before retiring in October 2018.  ""I have been involved in table tennis as a player till now, and I am thrilled WTT has recognised my results and experience,"" said Fukuhara.  ""I'll work very hard and try my best to meet the essential and pressing needs of the players.  ""As WTT Japan general manager, I'll be able to support the players and the table tennis family from a different angle and perspective, and I hope to be able to liven up the sport.""  The 33-year-old also spoke about the exciting competitions within the circuit and hopes to pass down her experience to the next generation of table tennis players.  Japan is the second biggest market for table tennis with the Olympic table tennis competitions reaching an audience of more than 21 million and a TV audience that came up to 54.4 per cent of the Japanese population.  ""We are delighted to start this collaboration with one of the most iconic players of her generation,"" said Steve Dainton, ITTF group chief executive and WTT director.  Dainton also highlighted how Fukuhara could be crucial in organising a WTT event in Japan and achieving its goals."
"ANOC stands by Tonga and vows to ""help as we can""",Association of National Olympic Committees (ANOC) leaders have expressed solidarity with the people of Tonga after the country was hit by a deadly volcanic eruption and tsunami.,"While there is still little clarity on the extent of damage caused, the Government of Tonga has issued a state of emergency, following the eruption of Hunga-Tonga-Hunga-Ha'apai, an underwater volcano, on January 15.  The eruption was the biggest recorded since Mount Pinatubo in the Philippines in 1991 and at least three people were killed, either by the ash cloud or resulting tsunami.  An earthquake measuring 6.2 on the Richter scale was recorded off the coast of Tonga yesterday as aid efforts continue.  An underwater communication cable was damaged in the eruption, leaving much of Tonga unable to communicate with the outside world.  ""We send our deepest sympathies to the people of Tonga who have suffered great loss following the recent volcanic eruption and tsunami,"" Acting ANOC President Robin Mitchell, who is also the President of the Oceania National Olympic Committees, said.  ""ANOC stands in solidarity with Tonga at this difficult time.  ""We will continue to reach out to the National Olympic Committee and help as we can.""  ANOC secretary general Gunilla Lindberg also sympathised with Tongans.  ""Our thoughts are with Tonga,"" Lindberg said.  ""We hope that the international community will continue to provide Tonga with the humanitarian aid it needs to support its people and the country’s recovery from this tragic event.""  Officials in Tonga are working hard to restore the communication services impacted by the natural disaster, while domestic and international humanitarian organisations are distributing essentials such as food and water.  The Tonga Sports Association and National Olympic Committee sent six athletes to the Tokyo 2020 Olympics, competing in taekwondo, swimming, athletics and weightlifting."
Three-time Olympic champion Kromowidjojo retires from swimming,Three-time Olympic gold medallist Ranomi Kromowidjojo has announced her retirement from competitive swimming.,"The 31-year-old, a specialist in freestyle sprint events, won her first Olympic gold in the 4x100 metres relay along with Dutch team-mates Inge Dekker, Femke Heemskerk, and Marleen Veldhuis at Beijing 2008.  The quartet set what was at the time an Olympic record, 3min 33.76sec.  Kromowidjojo followed that up with a double in the 50m and 100m individual freestyle events at London 2012.  Kromowidjojo also earned a silver in the 4x100m freestyle event in London.  She twice finished fourth at Tokyo 2020 - in the 50m freestyle and 4x100m freestyle relay - and make four Olympic appearances in all, having also raced at Rio 2016.  ""After 16 years of sport at the top level, my professional swimming career is complete,"" Kromowidjojo said on social media.  ""Swimming will always be my passion, but not on a professional level anymore.""  Kromowidjojo has a total of 39 medals from International Swimming Federation (FINA) World Championship events.  She also holds the short-course world record for the 50m freestyle with a time of 22.93sec.  Kromowidjojo won six medals at the FINA World Swimming Championships (25m) late last year, including gold in the 50m butterfly and silver in the 50m freestyle."
Alcantara re-elected Senegalese Surfing Federation President and sets sights on home Youth Olympics,Alexandre Alcantara has been re-elected President of the Senegalese Surfing Federation (FSS) and installed the Dakar 2026 Youth Olympics as a priority for his new term.,"Elections resulted in only one change to the FSS Executive Board, wiwsport reports, as Aly Diagne replaced René Pierre Laraise as treasurer.  Vice-president Oumar Seye, general secretary Souleye Mbengue, deputy general secretary Aziz Kane, deputy treasurer Adama Gueye, administrative director Youssouf Mane, technical director Yan Dagassan, national coach Pope Samba Ndiaye, and medical head Pierre Louis Denaro all remain on the Executive Board.  ""This new mandate is de facto part of the preparation and success of the 2026 YOG for our discipline,"" Alcantara said.  Attracting more youngsters to the sport and a successful showing from Senegalese surfers at the Youth Olympics will be measures of the FSS' success, the organisation has said.  Close collaboration with the International Surfing Association and French partners is also planned.  Senegal is set to host the next edition of the Summer Youth Olympic Games in 2026.  It will be the first edition of an Olympic Games held in Africa, but has already been delayed by four years because of the coronavirus crisis.  Surfing is on the Youth Olympic programme for the first time.  The sport made its full Olympic debut at Tokyo 2020, with medallists coming from five of the world's six populated continents as only Europe missed out."
Taekwondo Canada sets new dates for National Championships,"Taekwondo Canada has rescheduled its National Championships, with the poomsae event taken online in response to the COVID-19 situation.","The National Kyorugi Championships are now set for April 15 to 17 and remain at the Westin Harbour Castle in Toronto.  Senior, youth, junior and cadet competitions are all planned.  March 12 and 13 are the dates for the National Poomsae Championships, which will no longer be an in-person event.  A national team to represent Canada at the World Taekwondo Poomsae Championships in Goyang in South Korea will be selected off the results of the National Championships.  Toronto had been due to stage the National Championships from January 7 to 9, but a rise in the number of COVID-19 cases in Ontario led to a postponement.  ""The decision to postpone the National Championships was very difficult and we are pleased to announce the rescheduled dates today,"" Taekwondo Canada executive director Dave Harris said.  ""We have looked at all aspects of the event and wanted to make sure that we could schedule dates that would make the most sense for all involved."""
"Manager says first woman to play professional baseball in Australia ""100 per cent earned"" chance","Trailblazing baseball pitcher Genevieve Beacom says the reaction to her becoming the first woman to play in a professional game in Australia has been ""crazy"".","Beacom appeared on the latest episode of the World Baseball Softball Confederation's The Global Game podcast along with former Major League Baseball (MLB) relief pitcher Peter Moylan, who played a pivotal role in Beacom's rise to prominence.  It was Moylan who saw Beacom pitching while training with the Aces Academy, and who as a result sought to add the left-hander to the ABL Melbourne Aces as a development player.  On January 7, Beacom was called on to pitch the sixth inning of a game against the Adelaide Giants in the Melbourne Challenge Series.  The 17-year-old pitched a shutout inning, allowing no hits, and promptly shot to fame despite the Aces ultimately losing the game 7-1.  ""It seems like the whole baseball world knows me,"" Beacom told The Global Game.  ""It's crazy.  ""It's absolutely amazing.  ""I grew up watching all these guys.  ""Just to be given the offer to play was amazing.""  Moylan, who spent 12 years in MLB bullpens and is now the Aces' manager, has been watching Beacom’s development as a player since her junior days with Victoria and Australia.  ""If anyone thinks this is just a token selection, then they need to think again because she has 100 per cent earned her spot on the development list with the Melbourne Aces,"" the 43-year-old said.  Beacom is eager to collaborate with Moylan and pitching coach Graeme Lloyd, who helped the New York Yankees to World Series titles in 1996 and 1998, and also helped Australia clinch a silver medal at the Athens 2004 Olympics.  ""It's been only a couple of weeks, but I'm definitely looking forward to working with them all because they have so much baseball knowledge and experience,"" Beacom said.  Asked if she has an idol, Beacom immediately identified Jacob deGrom of the New York Mets - a four-time MLB All Star and twice a winner of the National League Cy Young Award, given to the best pitcher in the league.  ""I never tried to copy exactly a pitcher's mechanics,"" Beacom explained.  ""One I look a lot to is Jacob deGrom.  ""That guy is unbelievable.  ""He can throw so hard and looks like he's not putting any effort into it at all.""  However, New York Yankees ace Gerrit Cole is ""probably my favourite pitcher"", Beacom added, ""watching him on the mound every time he gets up there [it] looks like he knows nobody is getting at him.""  Men's baseball returned to the Olympic programme after a 13-year absence at Tokyo 2020, as did women's softball.  The male-dominated world of professional baseball has made some progress in terms of gender equality in recent years, including Kim Ng becoming the the first woman to be named an MLB general manager when the Miami Marlins appointed her to the senior role in November 2020.  The same year, the San Francisco Giants made Alyssa Nakken the first full-time female coach at the MLB level, when she was appointed assistant coach and occasionally even coached at first base."
Former Zimbabwe captain banned for three-and-a-half years by International Cricket Council,The International Cricket Council (ICC) has banned Brendan Taylor from all formats of cricket for three and a half years.,"The former Zimbabwe captain has admitted to breaching four charges of the ICC Anti-Corruption Code and one charge of the ICC Anti-Doping Code.  Taylor had accepted a bribe of £11,200 ($15,000/€13,400) to spot fix or influence matches that Zimbabwe were due to play against Sri Lanka and Bangladesh in early 2020.  However, the former Nottinghamshire player said that he never went through with the fixing.  The 35-year-old also tested positive for stimulant benzoylecognine, a cocaine metabolite, during an in-competition test conducted on September 8 2021, after Zimbabwe’s match against Ireland.  Commenting on the ban, Alex Marshall, general manager of the ICC's integrity unit, said that the experienced player knew exactly what he was doing.  ""Brendan is a former international captain who represented Zimbabwe for 17 years,"" said Marshall.  ""Over such a long career, he participated in numerous anti-corruption and anti-doping education sessions and knew exactly what his obligations were under the ICC Anti-Corruption and Anti-Doping Codes.  ""It is disappointing that a player of his experience chose not to fulfil those obligations, however he has accepted all charges, which has been reflected in the sanction.  ""I would echo Brendan’s message to other players to report approaches as soon as they happen so any corrupt activity can be disrupted at the earliest possible opportunity.  ""We wish Brendan well in his rehabilitation.""  Taylor has represented Zimbabwe in 35 Tests, 205 one-day internationals, and 45 Twenty20s.  Taylor can return to cricket on July 28 2025."
Multiple age groups added to USA Cycling Esports National Championships 2022,"USA Cycling along with Project Echelon have decided to include multiple age categories, apart from the men’s and women’s elite divisions, in the upcoming Esports National Cycling Championships 2022 starting on February 20.","The tournament will be hosted on virtual cycling app RGT Cycling.  ""We are happy to be able to work with our partners to host an Esports National Championship this year, and recognise the athletes and team that have made this a vibrant new form of competition over the past few years,"" said USA Cycling chief of racing and events Chuck Hodge.  The elite men and women will race three laps, with each lap being 27.79 kilometres, with 319 metres of elevation gain, not including any lead-in.  The same course will be used for men and women in the 35-50 and 50-60 age categories and participants from the category will race two laps each.  Participants in the 11-16 and 17-18 age categories will race one lap each.  All racers must hold a USA Cycling racing license in order to be eligible.  The registration fee for the event will be £7.44 ($10/€8.94) per race.  The International Cycling Union (UCI) Esports World Championships, hosted by the Zwift platform, will begin soon after on February 26."
GAMMA World Championships and Congress moved to Amsterdam,"Amsterdam has been announced as the new host of the delayed Global Association of Mixed Martial Arts (GAMMA) World Championships, with the event now scheduled to take place in March.","March 23 to 27 are the new dates for the World Championships, with the Sporthallen Zuid the venue.  The event will retain its GAMMA World MMA Championships 2021 branding, despite taking place in 2022.  GAMMA will also hold its World Congress at the Olympic Hotel in Amsterdam on March 24, with all member federations invited to attend.  Financial statements and budgets will be reviewed at the Congress, while the organisation's activities in 2020 and 2021 and changes to the Board of Directors are also due to be up for discussion.  German capital Berlin had been supposed to host the GAMMA World Championships in December, but COVID-19 rules led to the event's postponement and ultimately a move to The Netherlands.  ""They say good things come to those who wait,"" GAMMA President Alexander Engelhardt said.  ""And after having had to wait so long for our World Championships after the event was postponed twice due to the pandemic, we are expecting fantastic things in Amsterdam, followed by yet another World Championships later in the year.""  Apart from two World Championships, GAMMA is also preparing to host continental competitions and Youth World Championships this year.  The last edition of its World Championships took place in Singapore in 2019, with the 2020 competition cancelled altogether.  ""GAMMA hit the ground running in 2022 and with so many of our events to come this year, we are optimistic that this will be our most successful period ever,"" Engelhardt added."
"South Korea qualify for 10th consecutive FIFA World Cup, Iran also book place","South Korea have qualified for a 10th consecutive FIFA World Cup, with Iran also booking their place at the tournament in Qatar later this year.","The duo are the first Asian countries to qualify aside from Qatar, who automatically received a berth as the host nation.  Goals from Kim Jin-su and Kwon Chang-hoon helped South Korea beat Syria 2-0 in their Group A match today.  The win at the Rashid Stadium sees South Korea advance to what will be an 11th World Cup appearance overall.  They have played at every tournament since Mexico 1986, with a fourth-place finish in 2002, the country's best-ever result, when they co-hosted with Japan.  War-torn Syria, who were not able to host the game and instead played in Sidon in Lebanon, threatened to take the lead on many occasions, and South Korea had the video assistant referee (VAR) to thank when Omar Khribin's header was ruled out for being offside.  However, Kim Jin-su headed South Korea into the lead in the 53rd minute, converting Kim Tae-hwan's cross for his second international goal, and substitute Kwon Chang-hoon doubled the lead 18 minutes later.  South Korea are second in Group A of Asian Football Confederation (AFC) qualifying, with 20 points from eight games.  Iran are two points ahead and booked their World Cup place on Sunday with a 1-0 triumph over Iraq.  Mehdi Taremi scored the winning goal, and also scored the winner today as Iran beat the United Arab Emirates by the same scoreline.  Both of Iran's games were played at Tehran's Azadi Stadium.  Off the pitch, it was another landmark two days for Iranian women as they were able to attend FIFA World Cup qualifiers for the first time since 2019.  Female fans were kept away from sporting events in Iran for more than 30 years before FIFA ordered authorities to allow women inside stadiums without restrictions.  According to the Iranian Students News Agency, 2,000 of the 10,000 tickets sold were exclusively for women.  The top two teams in each of the two groups in this final round of AFC qualifying qualify for the World Cup.  Iran and South Korea cannot be caught in Group A, with the UAE currently third on nine points.  The two third-placed teams will advance to a playoff, with the winner in turn advancing to the inter-continental playoffs.  Saudi Arabia are top of Group B, on 19 points, and Japan have 18.  Third-placed Australia are on 15, with only two rounds of fixtures remaining."
