web-scraper-order,web-scraper-start-url,Article-Links,Article-Links-href,Articles-Content,gist
"1699700643-31","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Team Canada 50/50 lottery returns for Beijing 2022 Winter Olympics","https://www.insidethegames.biz/articles/1118289/beijing-2022-winter-olympics-canada","Proceeds from the provincial raffles will be invested in the respective provincial sport system, part of COF efforts to fund infrastructure and people to support Canadian athletes.","After a successful first run during the Tokyo 2020 Olympics, the Canadian Olympic Foundation (COF) has re-launched the Team Canada 50/50 lottery scheme for Beijing 2022."
"1699700652-32","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","U.S. Ski & Snowboard extends partnership with airweave","https://www.insidethegames.biz/articles/1118319/us-ski-snowboard-airweave-partnership","The Japanese brand has been a U.S. Ski & Snowboard partner since 2018.","U.S. Ski & Snowboard has decided to continue its partnership with official bedding supplier airweave, which is also title partner of the airweave Sleep Center housed at the national governing body's headquarters."
"1699700652-33","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","U.S. Ski & Snowboard extends partnership with airweave","https://www.insidethegames.biz/articles/1118319/us-ski-snowboard-airweave-partnership","""Our athletes are consistently on the move between travel, training and competitions,"" said U.S. Ski & Snowboard chief revenue officer Michael O'Conor.","U.S. Ski & Snowboard has decided to continue its partnership with official bedding supplier airweave, which is also title partner of the airweave Sleep Center housed at the national governing body's headquarters."
"1699700652-34","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","U.S. Ski & Snowboard extends partnership with airweave","https://www.insidethegames.biz/articles/1118319/us-ski-snowboard-airweave-partnership","""Sleeping well is extremely important, and one we prioritised by partnering with airweave four years ago.","U.S. Ski & Snowboard has decided to continue its partnership with official bedding supplier airweave, which is also title partner of the airweave Sleep Center housed at the national governing body's headquarters."
"1699700652-35","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","U.S. Ski & Snowboard extends partnership with airweave","https://www.insidethegames.biz/articles/1118319/us-ski-snowboard-airweave-partnership","""Having airweave on board with our team through another Olympic Games is a crucial part of ensuring our athlete's preparation,"" O'Conor added.","U.S. Ski & Snowboard has decided to continue its partnership with official bedding supplier airweave, which is also title partner of the airweave Sleep Center housed at the national governing body's headquarters."
"1699700652-36","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","U.S. Ski & Snowboard extends partnership with airweave","https://www.insidethegames.biz/articles/1118319/us-ski-snowboard-airweave-partnership","The bedding company has also partnered with Alex Ferreira - a Pyeongchang 2018 silver medallist in men's ski halfpipe - aerials athlete Winter Vinecki, snowboard cross rider and three-time Olympian Faye Gulini, and retired Alpine skier Alice McKennis Duran, a two-time Olympian.","U.S. Ski & Snowboard has decided to continue its partnership with official bedding supplier airweave, which is also title partner of the airweave Sleep Center housed at the national governing body's headquarters."
"1699700652-37","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","U.S. Ski & Snowboard extends partnership with airweave","https://www.insidethegames.biz/articles/1118319/us-ski-snowboard-airweave-partnership","All four will be brand ambassadors.","U.S. Ski & Snowboard has decided to continue its partnership with official bedding supplier airweave, which is also title partner of the airweave Sleep Center housed at the national governing body's headquarters."
"1699700652-38","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","U.S. Ski & Snowboard extends partnership with airweave","https://www.insidethegames.biz/articles/1118319/us-ski-snowboard-airweave-partnership","As a part of the deal, all U.S. Ski & Snowboard athletes and staff at the 2022 Beijing Winter Olympics will be provided with customised mattress toppers and pillows.","U.S. Ski & Snowboard has decided to continue its partnership with official bedding supplier airweave, which is also title partner of the airweave Sleep Center housed at the national governing body's headquarters."
"1699700652-39","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","U.S. Ski & Snowboard extends partnership with airweave","https://www.insidethegames.biz/articles/1118319/us-ski-snowboard-airweave-partnership","""I am very pleased to join the airweave family as an ambassador and as representative for how important sleep really is,"" said Ferreira.","U.S. Ski & Snowboard has decided to continue its partnership with official bedding supplier airweave, which is also title partner of the airweave Sleep Center housed at the national governing body's headquarters."
"1699700652-40","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","U.S. Ski & Snowboard extends partnership with airweave","https://www.insidethegames.biz/articles/1118319/us-ski-snowboard-airweave-partnership","""Being in the most comfortable bed and producing the best possible sleep will be indicative to my success in Beijing for the 2022 Winter Olympic Games.","U.S. Ski & Snowboard has decided to continue its partnership with official bedding supplier airweave, which is also title partner of the airweave Sleep Center housed at the national governing body's headquarters."
"1699700652-41","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","U.S. Ski & Snowboard extends partnership with airweave","https://www.insidethegames.biz/articles/1118319/us-ski-snowboard-airweave-partnership","""I will sleep hard so that I can ski harder.""","U.S. Ski & Snowboard has decided to continue its partnership with official bedding supplier airweave, which is also title partner of the airweave Sleep Center housed at the national governing body's headquarters."
"1699700660-42","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Perry Barr sports hub to benefit from £500,000 upgrade after Commonwealth Games","https://www.insidethegames.biz/articles/1118269/birmingham-council-commonwealth-games","The idea is to develop a facility that can be used year-round by people in Perry Barr, the Birmingham area due to play a central role during this year's Commonwealth Games.","Birmingham City Council and Sport England have come together with a £500,000 ($670,000/€600,000) plan to develop a new multi-purpose sporting facility at the Holford Drive Community Sports Hub (HDCSH) following the 2022 Commonwealth Games."
"1699700660-43","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Perry Barr sports hub to benefit from £500,000 upgrade after Commonwealth Games","https://www.insidethegames.biz/articles/1118269/birmingham-council-commonwealth-games","It is claimed that 800 people from Perry Barr and the surrounding areas use the existing HDCSH facility each week.","Birmingham City Council and Sport England have come together with a £500,000 ($670,000/€600,000) plan to develop a new multi-purpose sporting facility at the Holford Drive Community Sports Hub (HDCSH) following the 2022 Commonwealth Games."
"1699700660-44","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Perry Barr sports hub to benefit from £500,000 upgrade after Commonwealth Games","https://www.insidethegames.biz/articles/1118269/birmingham-council-commonwealth-games","Yet come winter, the number drastically falls to 300 due to the lack of floodlit facilities at HDCSH.","Birmingham City Council and Sport England have come together with a £500,000 ($670,000/€600,000) plan to develop a new multi-purpose sporting facility at the Holford Drive Community Sports Hub (HDCSH) following the 2022 Commonwealth Games."
"1699700660-45","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Perry Barr sports hub to benefit from £500,000 upgrade after Commonwealth Games","https://www.insidethegames.biz/articles/1118269/birmingham-council-commonwealth-games","It is hoped that winter usage will double following the renovations.","Birmingham City Council and Sport England have come together with a £500,000 ($670,000/€600,000) plan to develop a new multi-purpose sporting facility at the Holford Drive Community Sports Hub (HDCSH) following the 2022 Commonwealth Games."
"1699700660-46","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Perry Barr sports hub to benefit from £500,000 upgrade after Commonwealth Games","https://www.insidethegames.biz/articles/1118269/birmingham-council-commonwealth-games","Sport England will contribute £366,685 ($495,000/€440,000) of the national lottery funding while Birmingham City Council will supply the remaining budget of £150,000 ($200,000/€180,000).","Birmingham City Council and Sport England have come together with a £500,000 ($670,000/€600,000) plan to develop a new multi-purpose sporting facility at the Holford Drive Community Sports Hub (HDCSH) following the 2022 Commonwealth Games."
"1699700660-47","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Perry Barr sports hub to benefit from £500,000 upgrade after Commonwealth Games","https://www.insidethegames.biz/articles/1118269/birmingham-council-commonwealth-games","""Local people are at the heart of our thinking when it comes to what the legacy of Birmingham 2022 will look like, and how it should provide opportunities for communities to get active,"" Sport England chief executive Tim Hollingsworth said.","Birmingham City Council and Sport England have come together with a £500,000 ($670,000/€600,000) plan to develop a new multi-purpose sporting facility at the Holford Drive Community Sports Hub (HDCSH) following the 2022 Commonwealth Games."
"1699700660-48","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Perry Barr sports hub to benefit from £500,000 upgrade after Commonwealth Games","https://www.insidethegames.biz/articles/1118269/birmingham-council-commonwealth-games","""As an important space within Perry Barr, investment to enhance Holford Drive and create a facility that can be used all year round is fantastic news, and a great example of how the impact of the Games can continue beyond 2022.""","Birmingham City Council and Sport England have come together with a £500,000 ($670,000/€600,000) plan to develop a new multi-purpose sporting facility at the Holford Drive Community Sports Hub (HDCSH) following the 2022 Commonwealth Games."
"1699700660-49","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Perry Barr sports hub to benefit from £500,000 upgrade after Commonwealth Games","https://www.insidethegames.biz/articles/1118269/birmingham-council-commonwealth-games","Birmingham City Council leader Ian Ward added: ""As I've said all along, the legacy of Birmingham 2022 is massively important to us - the Games are more than 11 days of sport, and we need to look at how we build on the years of good work provided for the community by brilliant organisations like Holford Drive Community Sports Hub.""","Birmingham City Council and Sport England have come together with a £500,000 ($670,000/€600,000) plan to develop a new multi-purpose sporting facility at the Holford Drive Community Sports Hub (HDCSH) following the 2022 Commonwealth Games."
"1699700660-50","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Perry Barr sports hub to benefit from £500,000 upgrade after Commonwealth Games","https://www.insidethegames.biz/articles/1118269/birmingham-council-commonwealth-games","Discussions on how to get the best out of the facility during the Commonwealth Games are underway.","Birmingham City Council and Sport England have come together with a £500,000 ($670,000/€600,000) plan to develop a new multi-purpose sporting facility at the Holford Drive Community Sports Hub (HDCSH) following the 2022 Commonwealth Games."
"1699700660-51","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Perry Barr sports hub to benefit from £500,000 upgrade after Commonwealth Games","https://www.insidethegames.biz/articles/1118269/birmingham-council-commonwealth-games","Work on the proposed upgrades is scheduled to begin before the end of this year.","Birmingham City Council and Sport England have come together with a £500,000 ($670,000/€600,000) plan to develop a new multi-purpose sporting facility at the Holford Drive Community Sports Hub (HDCSH) following the 2022 Commonwealth Games."
"1699700660-52","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Perry Barr sports hub to benefit from £500,000 upgrade after Commonwealth Games","https://www.insidethegames.biz/articles/1118269/birmingham-council-commonwealth-games","Birmingham 2022 chair John Crabtree called the plan ""another example of how Birmingham 2022 and its partners are trying to ensure that the Commonwealth Games leaves lasting benefits for the people of the host city"".","Birmingham City Council and Sport England have come together with a £500,000 ($670,000/€600,000) plan to develop a new multi-purpose sporting facility at the Holford Drive Community Sports Hub (HDCSH) following the 2022 Commonwealth Games."
"1699700664-53","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","WKF and USA Karate officials discuss sport's bid to be in Los Angeles 2028 Olympics","https://www.insidethegames.biz/articles/1118343/karate-olympics-la2028-inclusion","An action plan was broken down during the videoconference meeting, with WKF President Antonio Espinós among those taking part.","Senior World Karate Federation (WKF) and USA Karate officials have met to discuss the sport's bid for inclusion at the Los Angeles 2028 Olympic Games."
"1699700664-54","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","WKF and USA Karate officials discuss sport's bid to be in Los Angeles 2028 Olympics","https://www.insidethegames.biz/articles/1118343/karate-olympics-la2028-inclusion","Chief executive Sara Wolff, senior adviser Francisco Alegrete, general secretary Toshihisa Nagura, and Athletes' Commission member Elisa Au all represented the WKF.","Senior World Karate Federation (WKF) and USA Karate officials have met to discuss the sport's bid for inclusion at the Los Angeles 2028 Olympic Games."
"1699700664-55","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","WKF and USA Karate officials discuss sport's bid to be in Los Angeles 2028 Olympics","https://www.insidethegames.biz/articles/1118343/karate-olympics-la2028-inclusion","USA Karate chair Rahul Bawa and chief executive Phil Hampel dialed in, while Au is also a USA Karate Board member.","Senior World Karate Federation (WKF) and USA Karate officials have met to discuss the sport's bid for inclusion at the Los Angeles 2028 Olympic Games."
"1699700664-56","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","WKF and USA Karate officials discuss sport's bid to be in Los Angeles 2028 Olympics","https://www.insidethegames.biz/articles/1118343/karate-olympics-la2028-inclusion","Principles from what is being dubbed the sport's LA28 project were laid out, as the WKF prepares to lobby for a second Olympic appearance.","Senior World Karate Federation (WKF) and USA Karate officials have met to discuss the sport's bid for inclusion at the Los Angeles 2028 Olympic Games."
"1699700664-57","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","WKF and USA Karate officials discuss sport's bid to be in Los Angeles 2028 Olympics","https://www.insidethegames.biz/articles/1118343/karate-olympics-la2028-inclusion","""We are going to put all our efforts and work to obtain karate's inclusion in the programme of LA 2028,"" Espinós said.","Senior World Karate Federation (WKF) and USA Karate officials have met to discuss the sport's bid for inclusion at the Los Angeles 2028 Olympic Games."
"1699700664-58","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","WKF and USA Karate officials discuss sport's bid to be in Los Angeles 2028 Olympics","https://www.insidethegames.biz/articles/1118343/karate-olympics-la2028-inclusion","""We are convinced that karate deserves to be an Olympic sport and we are confident that karate can bring great added value to the programme of LA 2028.","Senior World Karate Federation (WKF) and USA Karate officials have met to discuss the sport's bid for inclusion at the Los Angeles 2028 Olympic Games."
"1699700664-59","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","WKF and USA Karate officials discuss sport's bid to be in Los Angeles 2028 Olympics","https://www.insidethegames.biz/articles/1118343/karate-olympics-la2028-inclusion","""I would like to thank the USAKF officials headed by Rahul Bawa for their contribution and unyielding support.","Senior World Karate Federation (WKF) and USA Karate officials have met to discuss the sport's bid for inclusion at the Los Angeles 2028 Olympic Games."
"1699700664-60","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","WKF and USA Karate officials discuss sport's bid to be in Los Angeles 2028 Olympics","https://www.insidethegames.biz/articles/1118343/karate-olympics-la2028-inclusion","""I am sure that together we will achieve great success.""","Senior World Karate Federation (WKF) and USA Karate officials have met to discuss the sport's bid for inclusion at the Los Angeles 2028 Olympic Games."
"1699700664-61","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","WKF and USA Karate officials discuss sport's bid to be in Los Angeles 2028 Olympics","https://www.insidethegames.biz/articles/1118343/karate-olympics-la2028-inclusion","Karate made its Olympic debut at Tokyo 2020, but is not on the programme for Paris 2024, much to the chagrin of the WKF.","Senior World Karate Federation (WKF) and USA Karate officials have met to discuss the sport's bid for inclusion at the Los Angeles 2028 Olympic Games."
"1699700664-62","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","WKF and USA Karate officials discuss sport's bid to be in Los Angeles 2028 Olympics","https://www.insidethegames.biz/articles/1118343/karate-olympics-la2028-inclusion","Twenty-eight sports were last year recommended for inclusion at Los Angeles 2028 by the International Olympic Committee (IOC) Executive Board.","Senior World Karate Federation (WKF) and USA Karate officials have met to discuss the sport's bid for inclusion at the Los Angeles 2028 Olympic Games."
